categorie,categorie_label,praxis_relevant,scor,regiune,npa,oras,adresa,titlu,tip_obiect,chirie_neta,nebenkosten,suprafata_utila,nr_imagini,lungime_descriere,url,folder
A_praxis_medical,Praxis / cabinet medical / terapie,da,1776.0,Berna (oraș),3008,Bern,"Könizstrasse 74, 3008 Bern","Könizstrasse 74, 3008 Bern - auf Anfrage",COMMERCIAL,,,400,8,1987,https://flatfox.ch/de/wohnung/konizstrasse-74-3008-bern/85864203/,A_praxis_medical/85864203-bern-50-400m-gewerbe
A_praxis_medical,Praxis / cabinet medical / terapie,da,1776.0,Cantonul Berna,3048,Woblaufen,"Worblaufenstrasse 200/202, 3048 Woblaufen","Worblaufenstrasse 200/202, 3048 Woblaufen - CHF 200 inkl. NK pro m² / Jahr",OFFICE,150,50,3000,18,2478,https://flatfox.ch/de/wohnung/worblaufenstrasse-200202-3048-woblaufen/86061294/,A_praxis_medical/86061294-woblaufen-3000m-buero
A_praxis_medical,Praxis / cabinet medical / terapie,da,1776.0,Cantonul Berna,3048,Woblaufen,"Worblaufenstrasse 200/202, 3048 Woblaufen","Worblaufenstrasse 200/202, 3048 Woblaufen - CHF 200 inkl. NK pro m² / Jahr",COMMERCIAL,150,50,1300,18,2478,https://flatfox.ch/de/wohnung/worblaufenstrasse-200202-3048-woblaufen/86061304/,A_praxis_medical/86061304-woblaufen-1300m-gewerbe
A_praxis_medical,Praxis / cabinet medical / terapie,da,1776.0,Cantonul Berna,3048,Woblaufen,"Worblaufenstrasse 200/202, 3048 Woblaufen","Worblaufenstrasse 200/202, 3048 Woblaufen - CHF 200 inkl. NK pro m² / Jahr",OFFICE,150,50,600,18,2478,https://flatfox.ch/de/wohnung/worblaufenstrasse-200202-3048-woblaufen/86180312/,A_praxis_medical/86180312-woblaufen-600m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1772.0,Berna (oraș),3011,Bern,"Aarbergergasse 21, 3011 Bern","Aarbergergasse 21, 3011 Bern - CHF 2’890 inkl. NK pro Monat",COMMERCIAL,2550,340,133,9,1460,https://flatfox.ch/de/wohnung/aarbergergasse-21-3011-bern/86210400/,B_buero_gewerbe/86210400-bern-133m-gewerbe
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1768.0,Cantonul Berna,3097,Köniz,"Waldeggstrasse 34, 3097 Köniz","Waldeggstrasse 34, 3097 Köniz - auf Anfrage",COMMERCIAL,,,580,14,1715,https://flatfox.ch/de/wohnung/waldeggstrasse-34-3097-koniz/85588803/,B_buero_gewerbe/85588803-koeniz-580m-gewerbe
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1766.0,Berna (oraș),3007,Bern,"Chutzenstrasse 70, 3007 Bern","Chutzenstrasse 70, 3007 Bern - CHF 1’950 inkl. NK pro Monat",OFFICE,1700,250,103,9,788,https://flatfox.ch/de/wohnung/chutzenstrasse-70-3007-bern/86020313/,B_buero_gewerbe/86020313-bern-103m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,nu,1766.0,Berna (oraș),3011,Bern,"Genfergasse 11, 3011 Bern","Genfergasse 11, 3011 Bern - auf Anfrage",OFFICE,,,200,19,1530,https://flatfox.ch/de/wohnung/genfergasse-11-3011-bern/86219793/,B_buero_gewerbe/86219793-bern-200m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1760.0,Berna (oraș),3011,Bern,"Aarbergergasse 24, 3011 Bern","Aarbergergasse 24, 3011 Bern - CHF 1’785 inkl. NK pro Monat",OFFICE,1585,200,76,5,1775,https://flatfox.ch/de/wohnung/aarbergergasse-24-3011-bern/85853714/,B_buero_gewerbe/85853714-bern-76m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1760.0,Berna (oraș),3012,Bern,"Freiestrasse 54, 3012 Bern","Freiestrasse 54, 3012 Bern - CHF 2’690",INDUSTRIAL_OBJECT,,,104,5,1420,https://flatfox.ch/de/wohnung/freiestrasse-54-3012-bern/86241876/,B_buero_gewerbe/86241876-bern-104m-industrieobjekt
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1757.0,Cantonul Berna,4914,Roggwil,"Weibelackerweg 3, 4914 Roggwil","Weibelackerweg 3, 4914 Roggwil - CHF 530 inkl. NK pro Monat",COMMERCIAL,,110,50,14,4225,https://flatfox.ch/de/wohnung/weibelackerweg-3-4914-roggwil/86055759/,B_buero_gewerbe/86055759-roggwil-50m-gewerbe
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1756.0,Cantonul Berna,3073,Gümligen,"Worbstrasse 187, 3073 Gümligen","Worbstrasse 187, 3073 Gümligen - CHF 190 exkl. NK pro m² / Jahr",OFFICE,190,,705,12,1597,https://flatfox.ch/de/wohnung/worbstrasse-187-3073-gumligen/1381157/,B_buero_gewerbe/1381157-guemligen-705m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1756.0,Cantonul Berna,3073,Gümligen,"Worbstrasse 187, 3073 Gümligen","Worbstrasse 187, 3073 Gümligen - CHF 190 exkl. NK pro m² / Jahr",OFFICE,190,,2485,12,1670,https://flatfox.ch/de/wohnung/worbstrasse-187-3073-gumligen/1578902/,B_buero_gewerbe/1578902-guemligen-2485m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1756.0,Cantonul Berna,3073,Gümligen,"Worbstrasse 187, 3073 Gümligen","Worbstrasse 187, 3073 Gümligen - CHF 190 exkl. NK pro m² / Jahr",OFFICE,190,,5470,12,1704,https://flatfox.ch/de/wohnung/worbstrasse-187-3073-gumligen/1578925/,B_buero_gewerbe/1578925-guemligen-5470m-buero
